% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
4939 +3.017102134e+01 +3.017102134e+01 +1.064410213e+02 +1.064410213e+02 +2.8026e+00 -1.0743e+00 -5.0844e+00
4960 +2.832587441e+01 +2.832587441e+01 +1.045958744e+02 +1.045958744e+02 +2.5020e+00 -1.1455e+00 -4.9216e+00
4970 +2.814052802e+01 +2.814052802e+01 +1.044105280e+02 +1.044105280e+02 +2.4611e+00 -1.1552e+00 -4.8995e+00
4974 +2.709568579e+01 +2.709568579e+01 +1.033656858e+02 +1.033656858e+02 +2.2290e+00 -1.2108e+00 -4.7736e+00
4984 +2.681662441e+01 +2.681662441e+01 +1.030866244e+02 +1.030866244e+02 +1.9150e+00 -1.2855e+00 -4.6034e+00
4989 +2.608458376e+01 +2.608458376e+01 +1.023545838e+02 +1.023545838e+02 +2.0649e+00 -1.2499e+00 -4.6851e+00
4992 +2.564308717e+01 +2.564308717e+01 +1.019130872e+02 +1.019130872e+02 +2.0773e+00 -1.2472e+00 -4.6918e+00
5003 +2.474839043e+01 +2.474839043e+01 +1.010183904e+02 +1.010183904e+02 +1.9218e+00 -1.2841e+00 -4.6080e+00
5006 +2.418710139e+01 +2.418710139e+01 +1.004571014e+02 +1.004571014e+02 +1.9228e+00 -1.2840e+00 -4.6087e+00
5014 +2.146809253e+01 +2.146809253e+01 +9.773809253e+01 +9.773809253e+01 +1.5794e+00 -1.3658e+00 -4.4239e+00
5016 +2.030690365e+01 +2.030690365e+01 +9.657690365e+01 +9.657690365e+01 +1.4576e+00 -1.3954e+00 -4.3577e+00
5023 +1.516949770e+01 +1.516949770e+01 +9.143949770e+01 +9.143949770e+01 +8.2336e-01 -1.5480e+00 -4.0142e+00
5036 +1.172420191e+01 +1.172420191e+01 +8.799420191e+01 +8.799420191e+01 +4.6192e-01 -1.6344e+00 -3.8199e+00
5043 +1.134942728e+01 +1.134942728e+01 +8.761942728e+01 +8.761942728e+01 +4.4648e-02 -1.7334e+00 -3.5948e+00
5046 +7.964625067e+00 +7.964625067e+00 +8.423462507e+01 +8.423462507e+01 -6.5733e-01 -1.9032e+00 -3.2142e+00
5049 +4.456122664e+00 +4.456122664e+00 +8.072612266e+01 +8.072612266e+01 -1.2912e+00 -2.0563e+00 -2.8723e+00
5054 +3.972801624e+00 +3.972801624e+00 +8.024280162e+01 +8.024280162e+01 -2.3020e+00 -2.2985e+00 -2.3262e+00
5058 +3.804022328e+00 +3.804022328e+00 +8.007402233e+01 +8.007402233e+01 -1.9141e+00 -2.2053e+00 -2.5362e+00
5130 +3.795420736e+00 +3.795420736e+00 +8.006542074e+01 +8.006542074e+01 -1.8921e+00 -2.1994e+00 -2.5494e+00
5436 +3.670830638e+00 +3.670830638e+00 +7.994083064e+01 +7.994083064e+01 -1.9877e+00 -2.2480e+00 -2.4579e+00
5444 +3.625368955e+00 +3.625368955e+00 +7.989536895e+01 +7.989536895e+01 -1.9710e+00 -2.2529e+00 -2.4534e+00
5462 +3.534206381e+00 +3.534206381e+00 +7.980420638e+01 +7.980420638e+01 -1.9320e+00 -2.2640e+00 -2.4426e+00
5480 +3.325979700e+00 +3.325979700e+00 +7.959597970e+01 +7.959597970e+01 -1.8402e+00 -2.2911e+00 -2.4163e+00
5482 +3.216653488e+00 +3.216653488e+00 +7.948665349e+01 +7.948665349e+01 -1.7978e+00 -2.3031e+00 -2.4052e+00
5483 +3.070321810e+00 +3.070321810e+00 +7.934032181e+01 +7.934032181e+01 -1.7379e+00 -2.3217e+00 -2.3864e+00
5492 +2.641804136e+00 +2.641804136e+00 +7.891180414e+01 +7.891180414e+01 -1.5833e+00 -2.3673e+00 -2.3424e+00
5497 +2.400459692e+00 +2.400459692e+00 +7.867045969e+01 +7.867045969e+01 -1.5009e+00 -2.3906e+00 -2.3204e+00
5502 +1.943577344e+00 +1.943577344e+00 +7.821357734e+01 +7.821357734e+01 -1.3524e+00 -2.4338e+00 -2.2788e+00
5506 +1.491821015e+00 +1.491821015e+00 +7.776182101e+01 +7.776182101e+01 -1.1270e+00 -2.5008e+00 -2.2145e+00
5512 +1.352203286e+00 +1.352203286e+00 +7.762220329e+01 +7.762220329e+01 -9.3143e-01 -2.5580e+00 -2.1596e+00
5513 +1.111238118e+00 +1.111238118e+00 +7.738123812e+01 +7.738123812e+01 -1.0152e+00 -2.5332e+00 -2.1828e+00
5515 +1.049056309e+00 +1.049056309e+00 +7.731905631e+01 +7.731905631e+01 -6.1292e-01 -2.6511e+00 -2.0694e+00
5528 +9.682425907e-01 +9.682425907e-01 +7.723824259e+01 +7.723824259e+01 -8.7302e-01 -2.5745e+00 -2.1430e+00
5533 +9.486013847e-01 +9.486013847e-01 +7.721860138e+01 +7.721860138e+01 -8.2174e-01 -2.5899e+00 -2.1280e+00
5732 +9.259698219e-01 +9.259698219e-01 +7.719596982e+01 +7.719596982e+01 -7.3608e-01 -2.6196e+00 -2.0967e+00
5825 +9.098850560e-01 +9.098850560e-01 +7.717988506e+01 +7.717988506e+01 -6.5531e-01 -2.6532e+00 -2.0586e+00
5854 +8.646678630e-01 +8.646678630e-01 +7.713466786e+01 +7.713466786e+01 -6.1130e-01 -2.6826e+00 -2.0204e+00
5873 +8.318898469e-01 +8.318898469e-01 +7.710188985e+01 +7.710188985e+01 -5.7769e-01 -2.7095e+00 -1.9849e+00
5880 +8.112341113e-01 +8.112341113e-01 +7.708123411e+01 +7.708123411e+01 -5.7273e-01 -2.7092e+00 -1.9860e+00
5885 +7.782760617e-01 +7.782760617e-01 +7.704827606e+01 +7.704827606e+01 -5.5364e-01 -2.7248e+00 -1.9652e+00
5895 +7.695003045e-01 +7.695003045e-01 +7.703950030e+01 +7.703950030e+01 -5.4268e-01 -2.7345e+00 -1.9522e+00
5905 +7.424597754e-01 +7.424597754e-01 +7.701245978e+01 +7.701245978e+01 -4.7840e-01 -2.7857e+00 -1.8834e+00
5913 +7.344118574e-01 +7.344118574e-01 +7.700441186e+01 +7.700441186e+01 -4.7436e-01 -2.7888e+00 -1.8792e+00
5914 +6.889483504e-01 +6.889483504e-01 +7.695894835e+01 +7.695894835e+01 -4.3863e-01 -2.8126e+00 -1.8487e+00
5915 +6.681532513e-01 +6.681532513e-01 +7.693815325e+01 +7.693815325e+01 -4.9999e-01 -2.7785e+00 -1.8912e+00
5957 +5.511763543e-01 +5.511763543e-01 +7.682117635e+01 +7.682117635e+01 -4.5242e-01 -2.8543e+00 -1.7820e+00
5968 +5.370572879e-01 +5.370572879e-01 +7.680705729e+01 +7.680705729e+01 -4.6174e-01 -2.8444e+00 -1.7960e+00
5969 +5.089700705e-01 +5.089700705e-01 +7.677897007e+01 +7.677897007e+01 -4.1309e-01 -2.9053e+00 -1.7098e+00
5977 +4.541854237e-01 +4.541854237e-01 +7.672418542e+01 +7.672418542e+01 -4.2633e-01 -2.9065e+00 -1.7060e+00
5989 +3.947519973e-01 +3.947519973e-01 +7.666475200e+01 +7.666475200e+01 -4.1236e-01 -2.9612e+00 -1.6238e+00
6036 +3.718381331e-01 +3.718381331e-01 +7.664183813e+01 +7.664183813e+01 -3.8421e-01 -3.0010e+00 -1.5674e+00
6065 +3.579045521e-01 +3.579045521e-01 +7.662790455e+01 +7.662790455e+01 -4.1012e-01 -2.9975e+00 -1.5683e+00
6071 +3.429660789e-01 +3.429660789e-01 +7.661296608e+01 +7.661296608e+01 -3.9691e-01 -3.0348e+00 -1.5130e+00
6076 +3.383549530e-01 +3.383549530e-01 +7.660835495e+01 +7.660835495e+01 -3.9149e-01 -3.0614e+00 -1.4729e+00
6114 +3.271017272e-01 +3.271017272e-01 +7.659710173e+01 +7.659710173e+01 -3.8796e-01 -3.0832e+00 -1.4398e+00
6258 +3.228063027e-01 +3.228063027e-01 +7.659280630e+01 +7.659280630e+01 -3.9422e-01 -3.0805e+00 -1.4428e+00
6370 +3.159730905e-01 +3.159730905e-01 +7.658597309e+01 +7.658597309e+01 -4.2421e-01 -3.0324e+00 -1.5119e+00
