% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2218 +3.957011677e-01 +3.957011677e-01 -6.207142988e+02 -6.207142988e+02 -9.6516e-01 +4.0944e+00 -3.3983e-01 -3.6490e+00 -7.3669e-01
2234 +3.868795890e-01 +3.868795890e-01 -6.207231204e+02 -6.207231204e+02 -9.6332e-01 +4.0916e+00 -3.2669e-01 -3.6529e+00 -7.2975e-01
2237 +3.742337803e-01 +3.742337803e-01 -6.207357662e+02 -6.207357662e+02 -9.6332e-01 +4.0916e+00 -3.2651e-01 -3.6529e+00 -7.2963e-01
2246 +3.656510710e-01 +3.656510710e-01 -6.207443489e+02 -6.207443489e+02 -9.6208e-01 +4.0899e+00 -3.1746e-01 -3.6555e+00 -7.2492e-01
2254 +3.587599813e-01 +3.587599813e-01 -6.207512400e+02 -6.207512400e+02 -9.6356e-01 +4.0921e+00 -3.2843e-01 -3.6522e+00 -7.3070e-01
2262 +3.530310989e-01 +3.530310989e-01 -6.207569689e+02 -6.207569689e+02 -9.6216e-01 +4.0901e+00 -3.1838e-01 -3.6552e+00 -7.2533e-01
2263 +3.407287448e-01 +3.407287448e-01 -6.207692713e+02 -6.207692713e+02 -9.6115e-01 +4.0886e+00 -3.1121e-01 -3.6573e+00 -7.2154e-01
2269 +3.381586115e-01 +3.381586115e-01 -6.207718414e+02 -6.207718414e+02 -9.6094e-01 +4.0883e+00 -3.0979e-01 -3.6577e+00 -7.2087e-01
2287 +3.265185993e-01 +3.265185993e-01 -6.207834814e+02 -6.207834814e+02 -9.5884e-01 +4.0854e+00 -2.9546e-01 -3.6619e+00 -7.1323e-01
2301 +3.190826078e-01 +3.190826078e-01 -6.207909174e+02 -6.207909174e+02 -9.5921e-01 +4.0860e+00 -2.9820e-01 -3.6611e+00 -7.1483e-01
2311 +3.109994155e-01 +3.109994155e-01 -6.207990006e+02 -6.207990006e+02 -9.5603e-01 +4.0815e+00 -2.7617e-01 -3.6676e+00 -7.0319e-01
2317 +2.803882570e-01 +2.803882570e-01 -6.208296117e+02 -6.208296117e+02 -9.5343e-01 +4.0777e+00 -2.5737e-01 -3.6732e+00 -6.9332e-01
2324 +2.513276230e-01 +2.513276230e-01 -6.208586724e+02 -6.208586724e+02 -9.5112e-01 +4.0745e+00 -2.4116e-01 -3.6782e+00 -6.8472e-01
2961 +2.444243085e-01 +2.444243085e-01 -6.208655757e+02 -6.208655757e+02 -9.5106e-01 +4.0746e+00 -2.4181e-01 -3.6781e+00 -6.8523e-01
2968 +2.374765847e-01 +2.374765847e-01 -6.208725234e+02 -6.208725234e+02 -9.5036e-01 +4.0736e+00 -2.3671e-01 -3.6795e+00 -6.8256e-01
2975 +2.248393300e-01 +2.248393300e-01 -6.208851607e+02 -6.208851607e+02 -9.4703e-01 +4.0690e+00 -2.1359e-01 -3.6865e+00 -6.7045e-01
2987 +2.225318264e-01 +2.225318264e-01 -6.208874682e+02 -6.208874682e+02 -9.4704e-01 +4.0690e+00 -2.1376e-01 -3.6865e+00 -6.7052e-01
2995 +2.140695410e-01 +2.140695410e-01 -6.208959305e+02 -6.208959305e+02 -9.4503e-01 +4.0661e+00 -1.9939e-01 -3.6907e+00 -6.6298e-01
3014 +2.100322250e-01 +2.100322250e-01 -6.208999678e+02 -6.208999678e+02 -9.4487e-01 +4.0659e+00 -1.9838e-01 -3.6910e+00 -6.6245e-01
3022 +2.050857685e-01 +2.050857685e-01 -6.209049142e+02 -6.209049142e+02 -9.4328e-01 +4.0636e+00 -1.8730e-01 -3.6944e+00 -6.5662e-01
3033 +1.979486753e-01 +1.979486753e-01 -6.209120513e+02 -6.209120513e+02 -9.4078e-01 +4.0601e+00 -1.6998e-01 -3.6996e+00 -6.4755e-01
