% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
4625 +9.771117728e+01 +9.771117728e+01 +2.003211773e+02 +2.003211773e+02 +3.8921e+00 +5.9615e-01 -1.8756e+00 +1.7997e+00 -5.8205e-01 +5.0461e-03 -2.1691e-01 -2.6751e-01 -1.4932e+00 +7.7451e-01 -1.3864e+00 -1.5334e-01 -9.9928e-01 +7.8558e-01 -2.0199e+00 -2.8077e-01 +2.7909e-01 +1.0964e+00 +8.1544e-01 +1.2789e+00
5371 +9.549092134e+01 +9.549092134e+01 +1.981009213e+02 +1.981009213e+02 +3.8830e+00 +6.0816e-01 -1.8750e+00 +1.7951e+00 -5.8638e-01 +1.1369e-02 -2.1217e-01 -2.6504e-01 -1.5012e+00 +7.7592e-01 -1.3857e+00 -1.5324e-01 -9.9399e-01 +7.9413e-01 -2.0120e+00 -2.8268e-01 +2.7863e-01 +1.0973e+00 +8.1040e-01 +1.2760e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.422558314e+02 +3.422558314e+02 +4.355558314e+02 +4.355558314e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +2.773390074e+02 +2.773390074e+02 +3.706390074e+02 +3.706390074e+02 -1.0149e+00 +8.1318e-01 -1.0070e+00 -3.0138e-01 +5.8751e-01 +7.8090e-01 -1.2527e+00 -3.0855e-01 -1.1941e+00 +1.4867e-01 +7.0453e-01 -1.2669e-02 +3.3658e-01 -2.9738e-01 -5.3092e-01 +2.7061e-01 -5.0717e-01 -8.4258e-01 -7.4012e-01 -6.8768e-01
192 +2.751691892e+02 +2.751691892e+02 +3.684691892e+02 +3.684691892e+02 +4.8052e-01 -1.4819e+00 -1.3194e-01 -3.0964e+00 -1.2028e+00 -6.6611e-01 -6.0733e-01 +2.6363e-01 +9.9041e-01 -1.0958e+00 -3.3747e-01 -5.5608e-02 -2.5528e-01 +2.0641e+00 -6.3816e-01 -9.9542e-02 +9.7383e-01 +6.4057e-01 -3.7657e-01 +1.7341e-01
204 +2.612230289e+02 +2.612230289e+02 +3.545230289e+02 +3.545230289e+02 +8.2144e-01 -1.4728e+00 -9.0070e-01 -2.5851e+00 -1.8404e+00 -1.2280e+00 -7.5190e-01 +3.9722e-01 +3.6150e-01 -1.1705e+00 -5.8259e-01 +1.1701e-01 -1.1759e-01 +2.0493e+00 -1.2057e-01 -1.1038e+00 +8.4113e-01 +3.1883e-01 -6.5249e-01 +3.1088e-01
208 +2.369013061e+02 +2.369013061e+02 +3.302013061e+02 +3.302013061e+02 +5.1231e-02 -1.6227e+00 -5.6383e-01 -2.6398e+00 -1.0087e+00 -1.4593e+00 -9.4745e-01 -1.6245e-01 +7.6875e-01 -7.6687e-01 -5.6763e-01 +5.8722e-01 +2.5913e-01 +1.4965e+00 -7.0010e-01 +3.4879e-01 +1.1721e+00 +4.5087e-01 -8.8246e-01 -1.4949e-01
255 +2.324359492e+02 +2.324359492e+02 +3.257359492e+02 +3.257359492e+02 +4.3986e-02 -2.3959e+00 -1.9952e+00 -1.7065e+00 -1.3127e+00 -6.4904e-01 -7.7512e-01 +1.3753e+00 -1.7172e-01 -1.1688e+00 +1.1501e-01 +1.5998e+00 -1.1397e+00 +1.3760e+00 +4.4826e-01 -9.3126e-01 +3.0988e-01 +1.2099e+00 +3.7686e-01 -2.7345e-01
886 +2.140744916e+02 +2.140744916e+02 +3.073744916e+02 +3.073744916e+02 +1.4952e+00 -2.1610e+00 -3.1579e-01 -8.2634e-01 -6.5937e-01 +1.2846e-03 -1.2856e-01 +2.7794e+00 -1.4887e-01 -5.0763e-01 +1.7613e+00 -3.7499e-01 -4.4319e-01 +1.1423e+00 -2.2871e+00 -1.4348e+00 -1.4496e+00 +1.4760e+00 +5.7991e-01 +1.2481e+00
1522 +1.801259620e+02 +1.801259620e+02 +2.734259620e+02 +2.734259620e+02 +2.2084e+00 -1.8455e+00 -1.7213e+00 -1.0422e+00 -9.9669e-01 -4.4847e-01 -5.1069e-01 +2.8196e+00 -3.5379e-01 -7.9091e-01 +1.5812e+00 +1.5682e+00 +9.9162e-01 +7.2236e-01 -2.2243e+00 -1.3813e+00 -1.5746e+00 +1.9059e+00 +1.2334e-01 +1.1662e-01
3378 +1.746578432e+02 +1.746578432e+02 +2.679578432e+02 +2.679578432e+02 +1.3138e+00 -2.1839e+00 -2.3191e+00 -1.1108e+00 -1.4891e+00 +6.9547e-01 -3.4408e+00 +2.6669e+00 -1.6984e+00 -6.1536e-01 +1.5527e+00 +1.7878e+00 +7.3130e-01 +7.6868e-01 -2.4577e+00 -3.9724e-01 -1.8127e+00 +1.5158e+00 -1.0207e+00 -1.1240e+00
3403 +1.674423031e+02 +1.674423031e+02 +2.607423031e+02 +2.607423031e+02 +8.2568e-01 -2.1313e+00 -2.0248e+00 -1.3230e+00 -2.0625e+00 +6.2210e-01 -3.0861e+00 +2.3316e+00 -1.3792e+00 -1.0549e+00 +1.4906e+00 +1.7704e+00 +9.9863e-02 +8.2835e-01 -1.9358e+00 -3.3769e-01 -1.6378e+00 +1.7618e+00 -2.3925e-01 -1.3944e+00
3581 +1.584040303e+02 +1.584040303e+02 +2.517040303e+02 +2.517040303e+02 +3.5496e-01 -1.9750e+00 -1.4449e+00 -2.9134e+00 -9.6316e-01 +5.3959e-01 -2.0052e+00 +2.1141e+00 -1.3297e+00 -9.4455e-01 +1.4771e+00 +1.7963e+00 +1.5398e+00 +7.6593e-01 -2.1150e+00 -1.2186e+00 -1.6063e+00 +1.6202e+00 +1.5428e-01 -1.0119e+00
