% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
14 +6.353973821e+00 +6.353973821e+00 +2.769397382e+01 +2.769397382e+01 +1.3540e+00 +5.3163e+00
22 +5.566497799e+00 +5.566497799e+00 +2.690649780e+01 +2.690649780e+01 +5.6650e-01 +7.3363e+00
28 +2.825421777e+00 +2.825421777e+00 +2.416542178e+01 +2.416542178e+01 -2.1746e+00 +7.6479e+00
32 +0.000000000e+00 +0.000000000e+00 +2.134000000e+01 +2.134000000e+01 -5.9958e+00 +9.5290e+00
% function evaluation | noise-free fitness - Fopt (2.284000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.500000000e+01 +5.500000000e+01 +7.784000000e+01 +7.784000000e+01 +0.0000e+00 +0.0000e+00
2 +5.000998914e+01 +5.000998914e+01 +7.284998914e+01 +7.284998914e+01 +4.2646e-01 +5.4165e-01
3 +4.677516036e+01 +4.677516036e+01 +6.961516036e+01 +6.961516036e+01 +3.8582e-01 +8.6107e-01
8 +3.811146778e+01 +3.811146778e+01 +6.095146778e+01 +6.095146778e+01 -4.8924e-01 +1.6399e+00
12 +2.307559277e+01 +2.307559277e+01 +4.591559277e+01 +4.591559277e+01 +1.4723e-01 +3.2072e+00
24 +1.190758362e+01 +1.190758362e+01 +3.474758362e+01 +3.474758362e+01 -1.2983e+00 +4.1794e+00
25 +5.207724403e+00 +5.207724403e+00 +2.804772440e+01 +2.804772440e+01 +2.0772e-01 +8.6689e+00
35 +4.832020580e+00 +4.832020580e+00 +2.767202058e+01 +2.767202058e+01 -3.0607e+00 +4.7107e+00
40 +7.486589486e-01 +7.486589486e-01 +2.358865895e+01 +2.358865895e+01 -4.2513e+00 +7.8399e+00
42 +0.000000000e+00 +0.000000000e+00 +2.284000000e+01 +2.284000000e+01 -6.9188e+00 +6.8185e+00
% function evaluation | noise-free fitness - Fopt (-1.038100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.500000000e+01 +5.500000000e+01 -4.881000000e+01 -4.881000000e+01 +0.0000e+00 +0.0000e+00
2 +4.881267637e+01 +4.881267637e+01 -5.499732363e+01 -5.499732363e+01 -6.7160e-01 +6.8589e-01
7 +4.733182630e+01 +4.733182630e+01 -5.647817370e+01 -5.647817370e+01 +2.2991e-01 +7.4383e-01
8 +4.601964326e+01 +4.601964326e+01 -5.779035674e+01 -5.779035674e+01 +4.6481e-01 +8.5155e-01
12 +4.404752744e+01 +4.404752744e+01 -5.976247256e+01 -5.976247256e+01 +1.0793e+00 +9.8732e-01
15 +4.342101543e+01 +4.342101543e+01 -6.038898457e+01 -6.038898457e+01 +9.5597e-01 +1.0623e+00
16 +3.951577577e+01 +3.951577577e+01 -6.429422423e+01 -6.429422423e+01 +1.6611e+00 +1.3823e+00
24 +3.559937629e+01 +3.559937629e+01 -6.821062371e+01 -6.821062371e+01 +1.2612e+00 +1.8139e+00
25 +2.440448778e+01 +2.440448778e+01 -7.940551222e+01 -7.940551222e+01 +7.2839e-01 +2.9867e+00
32 +4.740447885e+00 +4.740447885e+00 -9.906955211e+01 -9.906955211e+01 +2.5955e-01 +5.1031e+00
37 +3.332541653e+00 +3.332541653e+00 -1.004774583e+02 -1.004774583e+02 +1.6675e+00 +5.5095e+00
43 +4.385156979e-01 +4.385156979e-01 -1.033714843e+02 -1.033714843e+02 +4.5615e+00 +7.7603e+00
44 +0.000000000e+00 +0.000000000e+00 -1.038100000e+02 -1.038100000e+02 +5.3321e+00 +9.6615e+00
% function evaluation | noise-free fitness - Fopt (1.237000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.500000000e+01 +5.500000000e+01 +6.737000000e+01 +6.737000000e+01 +0.0000e+00 +0.0000e+00
4 +5.288576473e+01 +5.288576473e+01 +6.525576473e+01 +6.525576473e+01 -2.9028e-01 -2.4045e-01
5 +5.138021891e+01 +5.138021891e+01 +6.375021891e+01 +6.375021891e+01 -1.0125e+00 -4.6323e-01
7 +4.584835073e+01 +4.584835073e+01 +5.821835073e+01 +5.821835073e+01 +2.1439e+00 -7.0077e-01
12 +4.263100868e+01 +4.263100868e+01 +5.500100868e+01 +5.500100868e+01 -6.6713e-01 -1.3036e+00
13 +2.861198424e+01 +2.861198424e+01 +4.098198424e+01 +4.098198424e+01 +1.8092e+00 -2.4579e+00
14 +1.308934004e+01 +1.308934004e+01 +2.545934004e+01 +2.545934004e+01 +3.8561e+00 -3.8055e+00
23 +0.000000000e+00 +0.000000000e+00 +1.237000000e+01 +1.237000000e+01 +5.1097e+00 -5.9539e+00
% function evaluation | noise-free fitness - Fopt (6.580000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.500000000e+01 +5.500000000e+01 +6.158000000e+01 +6.158000000e+01 +0.0000e+00 +0.0000e+00
6 +4.608894994e+01 +4.608894994e+01 +5.266894994e+01 +5.266894994e+01 +1.0793e+00 -9.9903e-01
13 +1.819011186e+01 +1.819011186e+01 +2.477011186e+01 +2.477011186e+01 -1.3204e+00 -3.5489e+00
18 +4.120464565e+00 +4.120464565e+00 +1.070046457e+01 +1.070046457e+01 -8.7954e-01 -5.6346e+00
22 +1.747591333e+00 +1.747591333e+00 +8.327591333e+00 +8.327591333e+00 -3.2524e+00 -6.3590e+00
31 +6.608383594e-01 +6.608383594e-01 +7.240838359e+00 +7.240838359e+00 -4.3392e+00 -1.0209e+01
32 +0.000000000e+00 +0.000000000e+00 +6.580000000e+00 +6.580000000e+00 -9.2786e+00 -7.8009e+00
% function evaluation | noise-free fitness - Fopt (5.178000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.500000000e+01 +5.500000000e+01 +1.067800000e+02 +1.067800000e+02 +0.0000e+00 +0.0000e+00
5 +2.689357016e+01 +2.689357016e+01 +7.867357016e+01 +7.867357016e+01 +7.2992e-01 -2.7377e+00
12 +1.907750925e+01 +1.907750925e+01 +7.085750925e+01 +7.085750925e+01 +4.2208e+00 -3.1702e+00
13 +1.437422058e+01 +1.437422058e+01 +6.615422058e+01 +6.615422058e+01 +6.6512e-01 -3.9961e+00
16 +6.049058344e+00 +6.049058344e+00 +5.782905834e+01 +5.782905834e+01 -1.0491e+00 -5.8230e+00
18 +5.546209389e+00 +5.546209389e+00 +5.732620939e+01 +5.732620939e+01 -5.4621e-01 -7.0697e+00
23 +4.209211453e+00 +4.209211453e+00 +5.598921145e+01 +5.598921145e+01 +7.9079e-01 -6.8659e+00
27 +3.055363023e+00 +3.055363023e+00 +5.483536302e+01 +5.483536302e+01 +1.9446e+00 -1.3829e+01
34 +0.000000000e+00 +0.000000000e+00 +5.178000000e+01 +5.178000000e+01 +7.8183e+00 -2.0631e+01
% function evaluation | noise-free fitness - Fopt (-3.760300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.500000000e+01 +5.500000000e+01 -3.210300000e+02 -3.210300000e+02 +0.0000e+00 +0.0000e+00
3 +4.485720768e+01 +4.485720768e+01 -3.311727923e+02 -3.311727923e+02 -6.0682e-01 +9.5360e-01
9 +3.770853168e+01 +3.770853168e+01 -3.383214683e+02 -3.383214683e+02 +1.0486e+00 +1.8340e+00
10 +3.514220123e+01 +3.514220123e+01 -3.408877988e+02 -3.408877988e+02 +1.4797e+00 +2.1337e+00
13 +8.767053401e+00 +8.767053401e+00 -3.672629466e+02 -3.672629466e+02 +3.7671e+00 +5.0237e+00
20 +8.126368208e+00 +8.126368208e+00 -3.679036318e+02 -3.679036318e+02 +3.1264e+00 +7.8522e+00
24 +6.407051105e+00 +6.407051105e+00 -3.696229489e+02 -3.696229489e+02 +1.4071e+00 +2.1069e+01
29 +3.032554761e+00 +3.032554761e+00 -3.729974452e+02 -3.729974452e+02 -1.9674e+00 +1.6799e+01
32 +0.000000000e+00 +0.000000000e+00 -3.760300000e+02 -3.760300000e+02 -1.8980e+01 +7.2352e+00
% function evaluation | noise-free fitness - Fopt (-7.182000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
