% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
713 +9.959310562e+00 +9.959310562e+00 +5.073931056e+01 +5.073931056e+01 -3.3040e+00 +8.6574e-01 +2.3344e+00 +4.3150e-01 -2.0953e+00 +2.5819e+00 +8.7421e-01 +4.1925e+00 -6.5522e-01 +2.7893e+00
737 +9.721945108e+00 +9.721945108e+00 +5.050194511e+01 +5.050194511e+01 -3.0453e+00 +7.6280e-01 +2.3817e+00 +4.6177e-01 -2.2015e+00 +2.4906e+00 +1.0578e+00 +4.1645e+00 -5.7299e-01 +2.9636e+00
814 +9.486867029e+00 +9.486867029e+00 +5.026686703e+01 +5.026686703e+01 -3.0248e+00 +8.7464e-01 +2.5968e+00 +6.3632e-01 -2.3064e+00 +2.5526e+00 +1.0941e+00 +4.1430e+00 -7.5678e-01 +2.9495e+00
854 +9.290815626e+00 +9.290815626e+00 +5.007081563e+01 +5.007081563e+01 -3.0700e+00 +8.4140e-01 +2.6243e+00 +6.3759e-01 -2.4333e+00 +2.5547e+00 +1.2274e+00 +4.0046e+00 -8.0625e-01 +2.7919e+00
927 +9.089984680e+00 +9.089984680e+00 +4.986998468e+01 +4.986998468e+01 -2.7129e+00 +8.9394e-01 +2.6610e+00 +7.9828e-01 -2.3894e+00 +2.5636e+00 +1.4414e+00 +3.8954e+00 -7.9184e-01 +2.7736e+00
971 +8.899705828e+00 +8.899705828e+00 +4.967970583e+01 +4.967970583e+01 -2.3332e+00 +7.6952e-01 +2.6200e+00 +9.7184e-01 -2.4953e+00 +2.6886e+00 +1.7920e+00 +3.7064e+00 -8.4756e-01 +2.7683e+00
1057 +8.701597586e+00 +8.701597586e+00 +4.948159759e+01 +4.948159759e+01 -1.7732e+00 +7.0413e-01 +2.7305e+00 +1.4464e+00 -2.7349e+00 +3.0540e+00 +2.2900e+00 +3.4936e+00 -9.6754e-01 +2.7257e+00
1176 +8.509802528e+00 +8.509802528e+00 +4.928980253e+01 +4.928980253e+01 -2.0826e+00 +7.3114e-01 +2.7036e+00 +1.5211e+00 -2.7584e+00 +3.0584e+00 +2.1933e+00 +3.5928e+00 -9.4432e-01 +2.7721e+00
1312 +8.315198198e+00 +8.315198198e+00 +4.909519820e+01 +4.909519820e+01 -1.9829e+00 +6.0925e-01 +2.7836e+00 +2.0266e+00 -2.9601e+00 +3.2758e+00 +2.5466e+00 +3.6626e+00 -1.2931e+00 +2.7266e+00
1567 +8.122413798e+00 +8.122413798e+00 +4.890241380e+01 +4.890241380e+01 -2.1826e+00 +3.2595e-01 +3.2173e+00 +2.5165e+00 -2.8127e+00 +3.2503e+00 +2.5658e+00 +3.6728e+00 -1.8691e+00 +2.6917e+00
1871 +7.939234974e+00 +7.939234974e+00 +4.871923497e+01 +4.871923497e+01 -2.4124e+00 -4.6178e-01 +3.8676e+00 +3.3031e+00 -2.2923e+00 +2.6412e+00 +2.5880e+00 +3.6226e+00 -2.6021e+00 +2.8069e+00
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.884153396e+01 +7.884153396e+01 +7.724153396e+01 +7.724153396e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +7.188744138e+01 +7.188744138e+01 +7.028744138e+01 +7.028744138e+01 -3.9224e-01 -1.1586e+00 -2.0080e-01 -6.4952e-01 -1.3346e+00 -2.8369e-01 -6.0012e-01 -1.1854e+00 -4.3836e-02 +8.9677e-01
3 +5.248160419e+01 +5.248160419e+01 +5.088160419e+01 +5.088160419e+01 +1.8577e+00 -8.4999e-01 +6.0862e-01 +5.6112e-01 -8.4114e-01 +4.1369e-02 +5.5255e-01 +5.5993e-01 -1.2858e+00 +2.1985e+00
44 +4.943268061e+01 +4.943268061e+01 +4.783268061e+01 +4.783268061e+01 +1.7168e+00 -1.7272e-01 +8.6696e-01 +6.3051e-01 +2.3219e-01 +2.9833e-01 -1.1120e+00 +1.2508e+00 +5.3943e-01 +2.4273e+00
